# Helper Methods called multiple times: 1695
Helper Method Class: com.helger.commons.io.stream.NonClosingInputStream, Helper Method name: void close()
	Called from: com.helger.commons.string.StringHelperTest, method: void testTrimStartInt()
	Called from: com.helger.commons.string.StringHelperTest, method: void testTrimStartInt()
	Called from: com.helger.commons.string.StringHelperTest, method: void testTrimStartInt()
Helper Method Class: com.helger.commons.io.file.FileIOError, Helper Method name: java.lang.Exception getException()
	Called from: com.helger.commons.io.file.FileIOErrorTest, method: void testCtor1()
	Called from: com.helger.commons.io.file.FileIOErrorTest, method: void testCtor4()
	Called from: com.helger.commons.io.file.FileIOErrorTest, method: void testCtor3()
	Called from: com.helger.commons.io.file.FileIOErrorTest, method: void testCtor2()
Helper Method Class: com.helger.commons.csv.CSVReader, Helper Method name: com.helger.commons.collection.impl.ICommonsList readAll()
	Called from: com.helger.commons.csv.CSVReaderTest, method: void testParseAll()
	Called from: com.helger.commons.csv.UnicodeFuncTest, method: void writeThenReadTwiceMixedUnicode()
	Called from: com.helger.commons.csv.UnicodeFuncTest, method: void writeThenReadTwiceUnicode()
	Called from: com.helger.commons.csv.UnicodeFuncTest, method: void writeThenReadTwiceAscii()
	Called from: com.helger.commons.csv.CSVReaderTest, method: void issue108ReaderPlaysWellWithChannels()
Helper Method Class: com.helger.commons.datetime.PDTWebDateHelper, Helper Method name: java.lang.String getAsStringRFC822(java.time.ZonedDateTime)
	Called from: com.helger.commons.datetime.PDTWebDateHelperTest, method: void testRfc822()
	Called from: com.helger.commons.datetime.PDTWebDateHelperTest, method: void testRfc822()
Helper Method Class: com.helger.commons.csv.CSVReader, Helper Method name: com.helger.commons.csv.CSVReader setSkipLines(int)
	Called from: com.helger.commons.csv.CSVReaderTest, method: void testSkippingLines()
	Called from: com.helger.commons.csv.CSVReaderTest, method: void testSkippingLinesWithDifferentEscape()
Helper Method Class: com.helger.commons.math.FactorialHelper, Helper Method name: long getSmallFactorial(int)
	Called from: com.helger.commons.math.FactorialHelperTest, method: void testSmall()
	Called from: com.helger.commons.math.FactorialHelperTest, method: void testSmall()
	Called from: com.helger.commons.math.FactorialHelperTest, method: void testSmall()
Helper Method Class: com.helger.commons.io.file.FilenameHelper, Helper Method name: java.lang.String getBaseName(java.lang.String)
	Called from: com.helger.commons.io.file.FilenameHelperTest, method: void testGetBaseName()
	Called from: com.helger.commons.io.file.FilenameHelperTest, method: void testGetBaseName()
	Called from: com.helger.commons.io.file.FilenameHelperTest, method: void testGetBaseName()
	Called from: com.helger.commons.io.file.FilenameHelperTest, method: void testGetBaseName()
	Called from: com.helger.commons.io.file.FilenameHelperTest, method: void testGetBaseName()
	Called from: com.helger.commons.io.file.FilenameHelperTest, method: void testGetBaseName()
	Called from: com.helger.commons.io.file.FilenameHelperTest, method: void testGetBaseName()
	Called from: com.helger.commons.io.file.FilenameHelperTest, method: void testGetBaseName()
Helper Method Class: com.helger.commons.io.stream.StreamHelper, Helper Method name: com.helger.commons.state.ESuccess writeStream(java.io.OutputStream,byte[])
	Called from: com.helger.commons.io.stream.StreamHelperTest, method: void testWriteStream()
	Called from: com.helger.commons.io.stream.StreamHelperTest, method: void testWriteStream()
Helper Method Class: com.helger.commons.hierarchy.ChildrenProviderSorting, Helper Method name: int getChildCount(java.lang.Object)
	Called from: com.helger.commons.hierarchy.ChildrenProviderSortingWithIDTest, method: void testAll()
	Called from: com.helger.commons.hierarchy.ChildrenProviderSortingTest, method: void testAll()
	Called from: com.helger.commons.hierarchy.ChildrenProviderSortingTest, method: void testAll()
	Called from: com.helger.commons.hierarchy.ChildrenProviderSortingTest, method: void testAll()
	Called from: com.helger.commons.hierarchy.ChildrenProviderSortingWithIDTest, method: void testAll()
	Called from: com.helger.commons.hierarchy.ChildrenProviderSortingWithIDTest, method: void testAll()
Helper Method Class: com.helger.commons.collection.ArrayHelper, Helper Method name: double[] getConcatenated(double,double[])
	Called from: com.helger.commons.collection.ArrayHelperTest, method: void testGetConcatenated()
	Called from: com.helger.commons.collection.ArrayHelperTest, method: void testGetConcatenated()
Helper Method Class: com.helger.commons.string.StringHelper, Helper Method name: java.lang.String getHexString(byte)
	Called from: com.helger.commons.string.StringHelperTest, method: void testHexStringByte()
	Called from: com.helger.commons.string.StringHelperTest, method: void testHexStringByte()
	Called from: com.helger.commons.string.StringHelperTest, method: void testHexStringByte()
	Called from: com.helger.commons.string.StringHelperTest, method: void testHexStringByte()
	Called from: com.helger.commons.string.StringHelperTest, method: void testHexStringByte()
	Called from: com.helger.commons.string.StringHelperTest, method: void testHexStringByte()
Helper Method Class: com.helger.commons.string.StringHelper, Helper Method name: boolean startsWithIgnoreCase(java.lang.CharSequence,char)
	Called from: com.helger.commons.string.StringHelperTest, method: void testStartsWithChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testStartsWithChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testStartsWithChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testStartsWithChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testStartsWithChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testStartsWithChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testStartsWithChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testStartsWithChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testStartsWithChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testStartsWithChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testStartsWithChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testStartsWithChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testStartsWithChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testStartsWithChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testStartsWithChar()
Helper Method Class: com.helger.commons.lang.EnumHelper, Helper Method name: java.lang.Enum getFromIDOrDefault(java.lang.Class,int,java.lang.Enum)
	Called from: com.helger.commons.lang.EnumHelperTest, method: void testGetFromIDInt()
	Called from: com.helger.commons.lang.EnumHelperTest, method: void testGetFromIDInt()
Helper Method Class: com.helger.commons.math.CombinationGenerator, Helper Method name: com.helger.commons.collection.impl.ICommonsList next()
	Called from: com.helger.commons.math.CombinationGeneratorTest, method: void testStringCombination()
	Called from: com.helger.commons.math.CombinationGeneratorTest, method: void testStringCombination2()
Helper Method Class: com.helger.commons.locale.LocaleHelper, Helper Method name: java.lang.String getValidCountryCode(java.lang.String)
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidCountryCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidCountryCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidCountryCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidCountryCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidCountryCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidCountryCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidCountryCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidCountryCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidCountryCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidCountryCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidCountryCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidCountryCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidCountryCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidCountryCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidCountryCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidCountryCode()
Helper Method Class: com.helger.commons.error.SingleError, Helper Method name: java.lang.Throwable getLinkedException()
	Called from: com.helger.commons.error.SingleErrorTest, method: void testEmpty()
	Called from: com.helger.commons.error.SingleErrorTest, method: void testAll()
	Called from: com.helger.commons.error.SingleErrorTest, method: void testLinkedException()
	Called from: com.helger.commons.error.SingleErrorTest, method: void testText()
	Called from: com.helger.commons.error.SingleErrorTest, method: void testLocation()
	Called from: com.helger.commons.error.SingleErrorTest, method: void testFieldName()
	Called from: com.helger.commons.error.SingleErrorTest, method: void testID()
Helper Method Class: com.helger.commons.collection.CollectionHelper$getKey__167, Helper Method name: java.lang.Object apply(java.lang.Object)
	Called from: com.helger.commons.string.StringHelperTest, method: void testAppendQuotedSB()
	Called from: com.helger.commons.string.StringHelperTest, method: void testAppendQuotedSB()
	Called from: com.helger.commons.string.StringHelperTest, method: void testAppendQuotedSB()
	Called from: com.helger.commons.string.StringHelperTest, method: void testAppendQuotedSB()
Helper Method Class: com.helger.commons.collection.PrimitiveCollectionHelper, Helper Method name: com.helger.commons.collection.impl.CommonsTreeSet newPrimitiveSortedSet(float[])
	Called from: com.helger.commons.collection.PrimitiveCollectionHelperTest, method: void testNewFloatContainer()
	Called from: com.helger.commons.collection.PrimitiveCollectionHelperTest, method: void testNewFloatContainer()
Helper Method Class: com.helger.commons.io.file.FilenameHelper, Helper Method name: java.lang.String getSecureFilename(java.lang.String)
	Called from: com.helger.commons.io.file.FilenameHelperTest, method: void testGetSecureFilename()
	Called from: com.helger.commons.io.file.FilenameHelperTest, method: void testGetSecureFilename()
	Called from: com.helger.commons.io.file.FilenameHelperTest, method: void testGetSecureFilename()
	Called from: com.helger.commons.io.file.FilenameHelperTest, method: void testGetSecureFilename()
	Called from: com.helger.commons.io.file.FilenameHelperTest, method: void testGetSecureFilename()
Helper Method Class: com.helger.commons.string.StringHelper, Helper Method name: boolean containsNone(java.lang.String,com.helger.commons.functional.ICharPredicate)
	Called from: com.helger.commons.string.StringHelperTest, method: void testContainsAnyOnlyNoneString()
	Called from: com.helger.commons.string.StringHelperTest, method: void testContainsAnyOnlyNoneString()
	Called from: com.helger.commons.string.StringHelperTest, method: void testContainsAnyOnlyNoneString()
	Called from: com.helger.commons.string.StringHelperTest, method: void testContainsAnyOnlyNoneString()
	Called from: com.helger.commons.string.StringHelperTest, method: void testContainsAnyOnlyNoneString()
	Called from: com.helger.commons.string.StringHelperTest, method: void testContainsAnyOnlyNoneString()
	Called from: com.helger.commons.string.StringHelperTest, method: void testContainsAnyOnlyNoneString()
	Called from: com.helger.commons.string.StringHelperTest, method: void testContainsAnyOnlyNoneString()
	Called from: com.helger.commons.string.StringHelperTest, method: void testContainsAnyOnlyNoneString()
Helper Method Class: com.helger.commons.id.factory.GlobalIDFactory, Helper Method name: java.lang.String getNewStringID()
	Called from: com.helger.commons.id.factory.GlobalIDFactoryTest, method: void testGetNewID()
	Called from: com.helger.commons.id.factory.GlobalIDFactoryTest, method: void testNoFactories()
	Called from: com.helger.commons.id.factory.GlobalIDFactoryTest, method: void testGetNewID()
	Called from: com.helger.commons.id.factory.GlobalIDFactoryTest, method: void testGetNewID()
Helper Method Class: com.helger.commons.io.stream.CountingOutputStream, Helper Method name: void write(int)
	Called from: com.helger.commons.io.stream.WrappedOutputStreamTest, method: void testAll()
	Called from: com.helger.commons.io.stream.CountingOutputStreamTest, method: void testAll()
Helper Method Class: com.helger.commons.collection.ArrayHelper, Helper Method name: boolean contains(double[],double)
	Called from: com.helger.commons.collection.ArrayHelperTest, method: void testContains()
	Called from: com.helger.commons.collection.ArrayHelperTest, method: void testContains()
	Called from: com.helger.commons.collection.ArrayHelperTest, method: void testContains()
Helper Method Class: com.helger.commons.io.file.FileOperations, Helper Method name: com.helger.commons.io.file.FileIOError deleteFile(java.io.File)
	Called from: com.helger.commons.base64.Base64Test, method: void testEncodeFileToFile()
	Called from: com.helger.commons.io.resource.FileSystemResourceTest, method: void testWrite()
	Called from: com.helger.commons.io.resource.FileSystemResourceTest, method: void testWrite()
	Called from: com.helger.commons.io.provider.FileSystemByteStreamProviderTest, method: void testAll()
	Called from: com.helger.commons.io.stream.CountingFileOutputStreamTest, method: void testAll()
	Called from: com.helger.commons.io.stream.CountingFileOutputStreamTest, method: void testAll()
	Called from: com.helger.commons.io.file.FileHelperTest, method: void testIsFileNewer()
	Called from: com.helger.commons.io.file.FileHelperTest, method: void testIsFileNewer()
	Called from: com.helger.commons.io.file.FileOperationsTest, method: void testDeleteFile()
	Called from: com.helger.commons.io.file.FileOperationsTest, method: void testDeleteFile()
	Called from: com.helger.commons.io.file.FileOperationsTest, method: void testDeleteFile()
	Called from: com.helger.commons.io.file.FileOperationsTest, method: void testDeleteFile()
	Called from: com.helger.commons.io.file.FileOperationsTest, method: void testDeleteFile()
	Called from: com.helger.commons.io.file.FileOperationsTest, method: void testDeleteFile()
	Called from: com.helger.commons.io.file.FileOperationsTest, method: void testCopyFile()
	Called from: com.helger.commons.io.file.FileOperationsTest, method: void testCopyFile()
	Called from: com.helger.commons.io.file.FileOperationsTest, method: void testCopyFile()
	Called from: com.helger.commons.io.file.FileOperationsTest, method: void testCopyFile()
	Called from: com.helger.commons.io.file.FileOperationsTest, method: void testCopyFile()
	Called from: com.helger.commons.io.file.FileOperationsTest, method: void testRenameFile()
	Called from: com.helger.commons.io.file.FileOperationsTest, method: void testRenameFile()
	Called from: com.helger.commons.io.file.FileOperationsTest, method: void testRenameFile()
	Called from: com.helger.commons.io.file.SimpleFileIOTest, method: void testWriteFile()
	Called from: com.helger.commons.io.file.SimpleFileIOTest, method: void testWriteFile()
	Called from: com.helger.commons.io.file.SimpleFileIOTest, method: void testReadFileAsString()
	Called from: com.helger.commons.io.file.SimpleFileIOTest, method: void testReadFileAsString()
	Called from: com.helger.commons.io.file.SimpleFileIOTest, method: void testReadFileAsString()
	Called from: com.helger.commons.io.file.SimpleFileIOTest, method: void testReadFileAsString()
	Called from: com.helger.commons.io.file.SimpleFileIOTest, method: void testReadFileBytes()
	Called from: com.helger.commons.io.file.SimpleFileIOTest, method: void testReadFileBytes()
	Called from: com.helger.commons.id.factory.FileLongIDFactoryTest, method: void testAll()
	Called from: com.helger.commons.id.factory.FileLongIDFactoryTest, method: void testAll()
	Called from: com.helger.commons.id.factory.FileLongIDFactoryTest, method: void testAll()
	Called from: com.helger.commons.id.factory.FileLongIDFactoryTest, method: void testAll()
	Called from: com.helger.commons.id.factory.FileIntIDFactoryTest, method: void testAll()
	Called from: com.helger.commons.id.factory.FileIntIDFactoryTest, method: void testAll()
	Called from: com.helger.commons.id.factory.FileIntIDFactoryTest, method: void testAll()
	Called from: com.helger.commons.id.factory.FileIntIDFactoryTest, method: void testAll()
	Called from: com.helger.commons.base64.Base64Test, method: void testDecodeToFile()
	Called from: com.helger.commons.base64.Base64Test, method: void testDecodeToFile()
	Called from: com.helger.commons.base64.Base64Test, method: void testDecodeFileToFile()
	Called from: com.helger.commons.base64.Base64Test, method: void testDecodeFileToFile()
	Called from: com.helger.commons.base64.Base64Test, method: void testDecodeFileToFile()
	Called from: com.helger.commons.base64.Base64Test, method: void testDecodeFileToFile()
	Called from: com.helger.commons.base64.Base64Test, method: void testEncodeToFile()
	Called from: com.helger.commons.base64.Base64Test, method: void testEncodeToFile()
	Called from: com.helger.commons.base64.Base64Test, method: void testEncodeFileToFile()
	Called from: com.helger.commons.base64.Base64Test, method: void testEncodeFileToFile()
	Called from: com.helger.commons.base64.Base64Test, method: void testEncodeFileToFile()
Helper Method Class: com.helger.commons.text.codepoint.DelegatingCodepointIterator, Helper Method name: java.lang.Object next()
	Called from: com.helger.commons.system.SystemPropertiesTest, method: void testGetAll()
	Called from: com.helger.commons.system.SystemPropertiesTest, method: void testGetAll()
	Called from: com.helger.commons.system.SystemPropertiesTest, method: void testPrintAll()
	Called from: com.helger.commons.supplementary.test.java.JavaFileAccessFuncTest, method: void testAccessRights()
	Called from: com.helger.commons.supplementary.test.java.JavaCollatorFuncTest, method: void testCollation()
	Called from: com.helger.commons.supplementary.test.java.JavaCollatorFuncTest, method: void testCollation()
	Called from: com.helger.commons.supplementary.test.java.JavaCollatorFuncTest, method: void testCollation()
	Called from: com.helger.commons.supplementary.test.java.JavaCharsetFuncTest, method: void testAllCharsets()
	Called from: com.helger.commons.supplementary.test.java.JavaListDigestProviderFuncTest, method: void testListAllDigestProvider()
	Called from: com.helger.commons.supplementary.test.java.JavaListDigestProviderFuncTest, method: void testListAllDigestProvider()
	Called from: com.helger.commons.supplementary.test.java.JavaListAllLocalesFuncTest, method: void testListAllSerbianCountries()
	Called from: com.helger.commons.supplementary.test.java.JavaListAllLocalesFuncTest, method: void testListAllCountries()
	Called from: com.helger.commons.typeconvert.DateTimeTypeConverterRegistrarTest, method: void testConvertIntoEachOther()
	Called from: com.helger.commons.typeconvert.DateTimeTypeConverterRegistrarTest, method: void testConvertIntoEachOther()
	Called from: com.helger.commons.typeconvert.CharsetTypeConverterRegistrarTest, method: void testConvert()
	Called from: com.helger.commons.typeconvert.TypeConverterTest, method: void testLocale()
	Called from: com.helger.commons.typeconvert.TypeConverterTest, method: void testFromBoolean()
	Called from: com.helger.commons.typeconvert.TypeConverterTest, method: void testConvertAllToAll()
	Called from: com.helger.commons.math.CombinationGeneratorFlexibleTest, method: void testRedundancy()
	Called from: com.helger.commons.datetime.PDTFormatterTest, method: void testGetForPattern()
	Called from: com.helger.commons.datetime.PDTFormatterTest, method: void testGetDefaultFormatter()
	Called from: com.helger.commons.datetime.PDTFormatPatternsTest, method: void testGetPattern()
	Called from: com.helger.commons.locale.LocaleCacheTest, method: void testGetAllLanguages()
	Called from: com.helger.commons.locale.LocaleCacheTest, method: void testGetAllLocales()
	Called from: com.helger.commons.locale.language.LanguageCacheTest, method: void testNoConcurrentModification2()
	Called from: com.helger.commons.locale.language.LanguageCacheTest, method: void testNoConcurrentModification2()
	Called from: com.helger.commons.locale.language.LanguageCacheTest, method: void testNoConcurrentModification()
	Called from: com.helger.commons.locale.language.LanguageCacheTest, method: void testNoConcurrentModification()
	Called from: com.helger.commons.locale.language.LanguageCacheTest, method: void testGetLanguage()
	Called from: com.helger.commons.locale.country.CountryCacheTest, method: void testNoConcurrentModification2()
	Called from: com.helger.commons.locale.country.CountryCacheTest, method: void testNoConcurrentModification2()
	Called from: com.helger.commons.locale.country.CountryCacheTest, method: void testNoConcurrentModification()
	Called from: com.helger.commons.locale.country.CountryCacheTest, method: void testNoConcurrentModification()
	Called from: com.helger.commons.locale.country.CountryCacheTest, method: void testGetCountry()
	Called from: com.helger.commons.text.ReadOnlyMultilingualTextTest, method: void testCtor()
	Called from: com.helger.commons.csv.CSVReaderTest, method: void testIteratorFunctionality()
	Called from: com.helger.commons.lang.ClassPathHelperTest, method: void testGetAllClassPathEntries()
	Called from: com.helger.commons.lang.ServiceLoaderFuncTest, method: void testLoadValid()
	Called from: com.helger.commons.lang.ServiceLoaderFuncTest, method: void testLoadValid()
	Called from: com.helger.commons.lang.ServiceLoaderFuncTest, method: void testLoadNonExistingImplementation()
	Called from: com.helger.commons.lang.ServiceLoaderFuncTest, method: void testLoadEmptyService()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.iterate.CombinedIteratorTest, method: void testAll()
	Called from: com.helger.commons.collection.CollectionHelperTest, method: void testGetSortedByValue()
	Called from: com.helger.commons.collection.CollectionHelperTest, method: void testGetSortedByValue()
	Called from: com.helger.commons.collection.CollectionHelperTest, method: void testGetSortedByValue()
	Called from: com.helger.commons.collection.CollectionHelperTest, method: void testGetSortedByValue()
	Called from: com.helger.commons.collection.CollectionHelperTest, method: void testGetSortedByValue()
	Called from: com.helger.commons.collection.CollectionHelperTest, method: void testGetSortedByValue()
	Called from: com.helger.commons.collection.CollectionHelperTest, method: void testGetSortedByKey()
	Called from: com.helger.commons.collection.CollectionHelperTest, method: void testGetSortedByKey()
	Called from: com.helger.commons.collection.CollectionHelperTest, method: void testGetSortedByKey()
	Called from: com.helger.commons.collection.CollectionHelperTest, method: void testGetSortedByKey()
	Called from: com.helger.commons.collection.CollectionHelperTest, method: void testGetSortedByKey()
	Called from: com.helger.commons.collection.CollectionHelperTest, method: void testGetSortedByKey()
	Called from: com.helger.commons.collection.CollectionHelperTest, method: void testNewOrderedMap_ArrayArray()
	Called from: com.helger.commons.collection.CollectionHelperTest, method: void testNewOrderedMap_ArrayArray()
	Called from: com.helger.commons.collection.IteratorHelperTest, method: void testGetReverseIterator()
	Called from: com.helger.commons.collection.IteratorHelperTest, method: void testGetReverseIterator()
	Called from: com.helger.commons.collection.IteratorHelperTest, method: void testGetReverseIterator()
	Called from: com.helger.commons.collection.IteratorHelperTest, method: void testGetReverseIterator()
	Called from: com.helger.commons.collection.IteratorHelperTest, method: void testGetReverseIterator()
Helper Method Class: com.helger.commons.string.StringHelper, Helper Method name: java.lang.String getHexEncoded(byte[])
	Called from: com.helger.commons.string.StringHelperTest, method: void testHexEncode()
	Called from: com.helger.commons.string.StringHelperTest, method: void testHexDecode()
	Called from: com.helger.commons.string.StringHelperTest, method: void testHexEncode()
	Called from: com.helger.commons.string.StringHelperTest, method: void testHexEncode()
	Called from: com.helger.commons.string.StringHelperTest, method: void testHexEncode()
	Called from: com.helger.commons.string.StringHelperTest, method: void testHexEncode()
Helper Method Class: com.helger.commons.debug.GlobalDebug, Helper Method name: void setProductionModeDirect(boolean)
	Called from: com.helger.commons.debug.GlobalDebugTest, method: void testStatic()
	Called from: com.helger.commons.debug.GlobalDebugTest, method: void testStatic()
Helper Method Class: com.helger.commons.collection.ArrayHelper, Helper Method name: boolean isEmpty(float[])
	Called from: com.helger.commons.collection.ArrayHelperTest, method: void testIsEmpty()
	Called from: com.helger.commons.collection.ArrayHelperTest, method: void testIsEmpty()
Helper Method Class: com.helger.commons.csv.CSVWriterTest, Helper Method name: java.lang.String _invokeWriter(java.lang.String[])
	Called from: com.helger.commons.csv.CSVWriterTest, method: void testParseLine()
	Called from: com.helger.commons.csv.CSVWriterTest, method: void parseLineWithBothEscapeAndQuoteChar()
	Called from: com.helger.commons.csv.CSVWriterTest, method: void testSpecialCharacters()
	Called from: com.helger.commons.csv.CSVWriterTest, method: void testParseLine()
	Called from: com.helger.commons.csv.CSVWriterTest, method: void testParseLine()
	Called from: com.helger.commons.csv.CSVWriterTest, method: void testParseLine()
	Called from: com.helger.commons.csv.CSVWriterTest, method: void testParseLine()
Helper Method Class: com.helger.commons.collection.iterate.FilterIterator, Helper Method name: void remove()
	Called from: com.helger.commons.collection.IteratorHelperTest, method: void testGetReverseIterator()
	Called from: com.helger.commons.lang.ServiceLoaderFuncTest, method: void testLoadValid()
	Called from: com.helger.commons.lang.ServiceLoaderFuncTest, method: void testLoadEmptyService()
	Called from: com.helger.commons.collection.IteratorHelperTest, method: void testGetIteratorFromEnumeration()
Helper Method Class: com.helger.commons.string.StringHelper, Helper Method name: int getIndexOf(java.lang.String,char)
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetIndexOfChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetIndexOfChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetIndexOfChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetIndexOfChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetIndexOfChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetIndexOfChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetIndexOfChar()
Helper Method Class: com.helger.commons.string.StringParser, Helper Method name: java.lang.Integer parseIntObj(java.lang.Object)
	Called from: com.helger.commons.string.StringParserTest, method: void testParseIntObj()
	Called from: com.helger.commons.string.StringParserTest, method: void testParseIntObj()
Helper Method Class: com.helger.commons.charset.EUnicodeBOM, Helper Method name: boolean isPresent(byte[])
	Called from: com.helger.commons.charset.EUnicodeBOMTest, method: void testgetSizeInBytes()
	Called from: com.helger.commons.charset.EUnicodeBOMTest, method: void testgetSizeInBytes()
	Called from: com.helger.commons.charset.EUnicodeBOMTest, method: void testgetSizeInBytes()
	Called from: com.helger.commons.charset.EUnicodeBOMTest, method: void testgetSizeInBytes()
	Called from: com.helger.commons.charset.EUnicodeBOMTest, method: void testgetSizeInBytes()
Helper Method Class: com.helger.commons.string.util.StringScanner, Helper Method name: com.helger.commons.string.util.StringScanner skipWhitespaces()
	Called from: com.helger.commons.string.util.StringScannerTest, method: void testAll()
	Called from: com.helger.commons.string.util.StringScannerTest, method: void testAll()
	Called from: com.helger.commons.string.util.StringScannerTest, method: void testAll()
Helper Method Class: com.helger.commons.ValueEnforcer, Helper Method name: java.lang.CharSequence notEmpty(java.lang.CharSequence,java.lang.String)
	Called from: com.helger.commons.ValueEnforcerTest, method: void testNotEmpty1()
	Called from: com.helger.commons.ValueEnforcerTest, method: void testNotEmpty3()
	Called from: com.helger.commons.ValueEnforcerTest, method: void testNotEmpty2()
Helper Method Class: com.helger.commons.io.stream.StreamHelper, Helper Method name: boolean isKnownEOFException(java.lang.Class)
	Called from: com.helger.commons.io.stream.StreamHelperTest, method: void testIsKnownEOFException()
	Called from: com.helger.commons.io.stream.StreamHelperTest, method: void testIsKnownEOFException()
	Called from: com.helger.commons.io.stream.StreamHelperTest, method: void testIsKnownEOFException()
Helper Method Class: com.helger.commons.io.resourceprovider.FileSystemResourceProvider, Helper Method name: com.helger.commons.io.resource.IReadableResource getReadableResource(java.lang.String)
	Called from: com.helger.commons.io.resourceprovider.FileSystemResourceProviderTest, method: void testAll()
	Called from: com.helger.commons.io.resourceprovider.FileSystemResourceProviderTest, method: void testAll()
	Called from: com.helger.commons.io.resourceprovider.FileSystemResourceProviderTest, method: void testAll()
Helper Method Class: com.helger.commons.collection.impl.CommonsWeakHashMapTest$lambda_testCtor_1__41, Helper Method name: java.lang.Object apply(java.lang.Object)
	Called from: com.helger.commons.string.StringHelperTest, method: void testAppendQuotedSB()
	Called from: com.helger.commons.string.StringHelperTest, method: void testAppendQuotedSB()
	Called from: com.helger.commons.string.StringHelperTest, method: void testAppendQuotedSB()
	Called from: com.helger.commons.string.StringHelperTest, method: void testAppendQuotedSB()
Helper Method Class: com.helger.commons.collection.CollectionHelper, Helper Method name: com.helger.commons.collection.impl.CommonsArrayList getSorted(com.helger.commons.collection.iterate.IIterableIterator)
